Periodo,Entidad federativa,Número de casos confirmados de paludismo con prueba de gota gruesa positiva que fueron registrados,Población Total,Tasa de incidencia asociada al paludismo por 100 mil habitantes
2002,Guerrero,24,3258145,0.736615467
2002,Hidalgo,0,2431444,0
2002,Jalisco,11,6671656,0.164876606
2002,México,0,13459745,0
2002,Michoacán de Ocampo,21,4193971,0.50071877
2002,Morelos,0,1629599,0
2002,Nayarit,91,958314,9.495843742
2002,Nuevo León,0,4103482,0
2002,Oaxaca,260,3696385,7.033899337
2002,Puebla,0,5364489,0
2002,Querétaro,0,1607589,0
2002,Quintana Roo,276,1015299,27.1841103
2002,San Luis Potosí,0,2425828,0
2002,Sinaloa,664,2602506,25.51387009
2002,Sonora,32,2373321,1.348321613
2002,Tabasco,140,2033695,6.884021449
2002,Tamaulipas,0,2911087,0
2002,Tlaxcala,0,1045455,0
2002,Veracruz de Ignacio de la Llave,11,7294006,0.15080876
2002,Yucatán,33,1771733,1.862583132
2002,Zacatecas,0,1426392,0
2003,Nacional,3819,104719891,3.646871634
2003,Aguascalientes,0,1062250,0
2003,Baja California,0,2775926,0
2003,Baja California Sur,0,511831,0
2003,Campeche,21,741113,2.833575986
2003,Coahuila de Zaragoza,0,2512261,0
2003,Colima,0,575411,0
2003,Chiapas,1893,4397267,43.04946686
2003,Chihuahua,272,3165454,8.592764261
2003,Distrito Federal,0,8982214,0
2003,Durango,83,1540255,5.388718102
2003,Guanajuato,0,5247781,0
2003,Guerrero,7,3276596,0.213636347
2003,Hidalgo,0,2456380,0
2003,Jalisco,6,6752883,0.08885094
2003,México,0,13723512,0
2003,Michoacán de Ocampo,3,4212077,0.071223769
2003,Morelos,1,1648428,0.060663857
2003,Nayarit,51,970986,5.252392928
2003,Nuevo León,0,4180268,0
2003,Oaxaca,727,3715944,19.5643422
2003,Puebla,0,5428158,0
2003,Querétaro,0,1636560,0
2003,Quintana Roo,85,1054642,8.059606957
2003,San Luis Potosí,0,2445009,0
2003,Sinaloa,403,2633143,15.30490368
2003,Sonora,78,2416527,3.22777275
2003,Tabasco,173,2062700,8.387065497
2003,Tamaulipas,0,2968581,0
2003,Tlaxcala,0,1063593,0
2003,Veracruz de Ignacio de la Llave,1,7333249,0.01363652
2003,Yucatán,15,1797323,0.834574531
2003,Zacatecas,0,1431569,0
2004,Nacional,3406,105951569,3.214676321
2004,Aguascalientes,0,1079814,0
2004,Baja California,0,2845936,0
2004,Baja California Sur,0,529124,0
2004,Campeche,4,754622,0.530066709
2004,Coahuila de Zaragoza,0,2550208,0
2004,Colima,0,584151,0
2004,Chiapas,1210,4476586,27.02952652
2004,Chihuahua,182,3218865,5.654166919
2004,Distrito Federal,0,8982860,0
2004,Durango,54,1551703,3.480047406
2004,Guanajuato,0,5282560,0
2004,Guerrero,3,3291452,0.091145185
2004,Hidalgo,0,2480424,0
2004,Jalisco,6,6823155,0.08793586
2004,México,0,13978080,0
2004,Michoacán de Ocampo,7,4220890,0.165841801
2004,Morelos,0,1663867,0
2004,Nayarit,27,982991,2.746718942
2004,Nuevo León,0,4254706,0
2004,Oaxaca,1132,3738874,30.27649501
2004,Puebla,0,5493482,0
2004,Querétaro,0,1666361,0
2004,Quintana Roo,45,1094787,4.110388596
2004,San Luis Potosí,0,2460435,0
2004,Sinaloa,529,2660125,19.88628354
